Nom du cookie,Domaine,Chemin,Durée de Vie,Taille,Valeur,HTTP Only,Sécurisé,SameSite,Catégorie
,,,,,,,,,
xdid,.fr.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-14 02:47:46,
EG_SESSIONTOKEN,.hotels.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-18 09:34:33
_abck,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-11-13 09:34:25
s_ppn,.hotels.com,Persistent,Tierce Partie,None,Unknown,False,False,2023-11-14 10:04:24
AMCV_C00802BE5330A8350A490D4C%40AdobeOrg,.hotels.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-12-18 09:34:24
AWSELBCORS,fr.hotels.com,Persistent,Première-Partie,Secure,Unknown,False,True,2023-11-14 10:34:24
AWSELB,fr.hotels.com,Persistent,Première-Partie,None,Unknown,False,False,2023-11-14 10:34:24
cesc,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-18 09:34:24
s_ips,.hotels.com,Session,Tierce Partie,None,Unknown,False,False,Session
currency,.hotels.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-18 09:34:21
session_id,fr.hotels.com,Session,Première-Partie,None,Unknown,False,False,Session
s_tp,.hotels.com,Session,Tierce Partie,None,Unknown,False,False,Session
s_ppv,.hotels.com,Session,Tierce Partie,None,Unknown,False,False,Session
AMCVS_C00802BE5330A8350A490D4C%40AdobeOrg,.hotels.com,Session,Tierce Partie,None,Unknown,False,False,Session
bm_sz,.hotels.com,Persistent,Tierce Partie,None,Unknown,False,False,2023-11-14 13:34:20
akacd_pr_20,fr.hotels.com,Persistent,Première-Partie,Secure,Unknown,False,True,2024-01-13 09:34:21
OIP,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-18 09:34:21
linfo,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-18 09:34:33
tpid,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2023-11-25 23:21:01
DUAID,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-18 09:34:33
page_name,fr.hotels.com,Session,Première-Partie,None,Unknown,False,False,Session
HMS,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2023-11-14 10:04:33
CRQS,.hotels.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-18 09:34:21
iEAPID,.hotels.com,Session,Tierce Partie,Secure,Unknown,False,True,Session
MC1,.hotels.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-18 09:34:33
CRQSS,.hotels.com,Session,Tierce Partie,HttpOnly; Secure,Unknown,True,True,Session
OptanonConsent,.www.booking.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-05-12 10:44:37
11_srd,.booking.com,Session,Tierce Partie,None,Unknown,False,False,Session
qr_is_sr,.booking.com,Session,Tierce Partie,None,Unknown,False,False,Session
bkng_sso_session,.booking.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-18 09:44:37
OptanonAlertBoxClosed,.www.booking.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-05-12 10:44:37
BJS,.booking.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2023-11-15 09:44:36
bkng_sso_auth,.booking.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2023-11-21 09:44:35
px_init,.booking.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-18 09:44:36
lastSeen,.booking.com,Session,Tierce Partie,None,Unknown,False,False,Session
cors_js,.booking.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-11-13 09:44:36
bkng,.booking.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-18 09:44:36
bkng_sso_ses,.booking.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-18 09:44:37
_pxhd,.booking.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-11-13 09:44:36
pcm_consent,.booking.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2023-11-21 09:44:35
CONSENT,.youtube.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-18 09:49:06
PREF,.youtube.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-12-18 09:49:12
VISITOR_PRIVACY_METADATA,.youtube.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-13 09:49:06
__Secure-YEC,.youtube.com,Persistent,Tierce Partie,HttpOnly; Secure,Unknown,True,True,2024-12-13 09:49:05
YSC,.youtube.com,Session,Tierce Partie,HttpOnly; Secure,Unknown,True,True,Session
wzcnst,.transavia.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2023-11-14 11:21:06
wzuid,.transavia.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2024-11-13 10:21:06
tra_debug_ga,.transavia.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-12-18 10:21:06
cookies_accepted,.transavia.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-11-13 10:21:05
_svs,.transavia.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-12-18 10:21:05
nlbi_2897631,.transavia.com,Session,Tierce Partie,Secure,Unknown,False,True,Session
tra_ga,.transavia.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-12-18 10:21:01
_svtri,.transavia.com,Persistent,Tierce Partie,None,Unknown,False,False,2024-12-18 10:21:01
reese84,.www.transavia.com,Persistent,Tierce Partie,None,Unknown,False,False,2023-12-14 10:21:00
_stCookieTest,.transavia.com,Session,Tierce Partie,None,Unknown,False,False,Session
nlbi_2445686_2147483392,.transavia.com,Session,Tierce Partie,Secure,Unknown,False,True,Session
df_bpln,.transavia.com,Persistent,Tierce Partie,None,Unknown,False,False,2023-11-14 10:51:00
wzsid,.transavia.com,Persistent,Tierce Partie,Secure,Unknown,False,True,2023-11-14 11:21:06
tmDeviceId,www.transavia.com,Persistent,Première-Partie,HttpOnly; Secure,Unknown,True,True,2024-11-14 10:21:01
