Nom du cookie;Domaine;Chemin;Durée de Vie;HTTP Only;Sécurisé;SameSite;Catégorie
didomi_cookies;www.bfmtv.com;Persistent;Première-Partie;False;False;2024-11-13 10:34:58;Persistant
didomi_token;.bfmtv.com;Persistent;Tierce Partie;False;False;2024-11-14 10:34:58;Suivi/Publicité
atauthority;.bfmtv.com;Persistent;Tierce Partie;False;False;2024-12-15 10:34:58;Suivi/Publicité
atuserid;.bfmtv.com;Persistent;Tierce Partie;False;False;2024-12-15 10:34:58;Suivi/Publicité
guest_id;.twitter.com;Persistent;Tierce Partie;False;True;2024-12-14 10:36:21;Suivi/Publicité
TAPAD;www.aufeminin.com;Session;Première-Partie;False;False;Session;Fonctionnel
__gpi;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-12-08 11:00:40;Suivi/Publicité
__gads;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-12-08 11:00:40;Suivi/Publicité
SA;www.aufeminin.com;Persistent;Première-Partie;False;False;2023-11-15 11:00:40;Persistant
_hjIncludedInSessionSample_3063876;.aufeminin.com;Persistent;Tierce Partie;False;True;2023-11-14 11:30:40;Suivi/Publicité
_lr_geo_location;www.aufeminin.com;Persistent;Première-Partie;False;False;2023-11-15 11:00:40;Persistant
_lr_geo_location_state;www.aufeminin.com;Persistent;Première-Partie;False;False;2023-11-15 11:00:40;Persistant
nadz_dailyVisits;www.aufeminin.com;Persistent;Première-Partie;False;False;2023-11-16 00:59:59;Persistant
FCNEC;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-11-13 11:00:41;Suivi/Publicité
_ttp;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-12-08 11:00:40;Suivi/Publicité
_ga_Z75ED4MEYT;.aufeminin.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
_hjFirstSeen;.aufeminin.com;Persistent;Tierce Partie;False;True;2023-11-14 11:30:40;Suivi/Publicité
Wysistat;www.aufeminin.com;Persistent;Première-Partie;False;False;2024-12-13 11:00:34;Persistant
_tt_enable_cookie;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-12-08 11:00:40;Suivi/Publicité
_fbp;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-02-12 11:00:39;Suivi/Publicité
af_session;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-11-13 11:00:39;Suivi/Publicité
